facility_code,facility_name,admin1,admin2,facility_type,latitude,longitude,pop_5km,pop_10km
3601,Kasanga Health Post,Luapula,Chembe,Health Post,-11.5114939,28.4434,3228,10307
3760,Malubila Health Post,Central,Mkushi,Health Post,-13.658297,29.895443,716,2651
4459,Chimwemwe UCZ Health Post,Lusaka,Lusaka,Health Post,-15.3530973,28.2948824,883742,1907049
4293,Optique Clinic,Lusaka,Lusaka,General clinic,-15.42018,28.3433,428206,1762256
2781,Chibuye Rural Health Centre,Luapula,Chifunabuli,Health Centre,-11.106474,29.437628,5185,16310
1083,Zimba Hospital Affiliated Health Centre,Southern,Zimba,Health Centre,-17.31779214,26.20393022,3613,9846
1410,Mbayamusuma Rural Health Centre,Southern,Mazabuka,Health Centre,-15.856368,27.7547,49564,73788
1248,Sianyoolo Rural Health Centre,Southern,Siavonga,Health Centre,-16.234,28.1819,2834,8243
3250,Lunzi Rural Health Centre,Eastern,Chasefu,Health Centre,-11.69562,33.23124,4028,13894
4132,Nsanja Health Post,Northern,Luwingu,Health Post,-10.356728,29.96659,2447,9279
4242,Kanchibiya Resettlement Health Post,Muchinga,Kanchibiya,Health Post,-11.7062619,31.207733,679,3117
1058,Katima Mulilo Urban Clinic,Western,Sesheke,Health Centre,-17.4712,24.24279,6432,13279
2625,Kyakufuma Rural Health Centre,North-Western,Solwezi,Health Centre,-12.0362924,26.4007701,10262,43792
3412,Ndingindi Health Post,Muchinga,Nakonde,Health Post,-9.865795,32.499842,1014,4114
2998,Kambobe Health Post,Northern,Mporokoso,Health Post,-9.358616,30.2305553,1512,6351
1354,North Star Alliance Wellness Centre,Southern,Chirundu,First-aid stations,-16.033863,28.844357,12910,20357
2594,Solwezi Hospital Affiliated Health Centre,North-Western,Solwezi,Health Centre,-12.182919,26.421593,48171,97512
1647,Mondengwa Mini Hospital,Lusaka,Chilanga,Health Centre,-15.170237,28.023249,1755,6816
1603,Mwanjuni Health Post,Central,Chibombo,Health Post,-15.26092,28.26873,36617,313863
4387,Sinazeze Hills Mini Hospital,Southern,Sinazongwe,Health Centre,-17.133948,27.424226,6606,18057
3758,ZNS Luanshimba Rural Health Centre,Central,Mkushi,Health Centre,-13.709087,29.586333,2484,9957
3762,Mikunku Health Center,Central,Mkushi,Health Centre,-13.7908914,29.043297,3043,10606
2229,Chikabuke Rural Health Centre,Copperbelt,Lufwanyama,Health Centre,-12.95708,28.14627,10846,63652
4495,Nippon Health Clinic,Lusaka,Lusaka,Health Centre,-15.463397,28.2518329,510135,1521090
4458,Lusaka Adventist Clinic,Lusaka,Lusaka,General clinic,-15.339104,28.297042,705562,1688772
1673,Mangelengele Health Post,Lusaka,Luangwa,Health Post,-15.113436,30.105208,845,4084
1400,Chuula Clinic,Southern,Mazabuka,Health Post,-15.870351,27.688514,17892,63951
